id,player_name,age,games,games_started,minutes_played,field_goals,field_attempts,field_percent,three_fg,three_attempts,three_percent,two_fg,two_attempts,two_percent,effect_fg_percent,ft,fta,ft_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,season
576,Bol Bol,23,70,33,1505,261,478,0.546,30,113,0.265,231,365,0.633,0.577,82,108,0.759,69,336,405,69,30,85,112,92,634,ORL,2023
863,Bol Bol,22,14,0,81,15,27,0.556,1,4,0.25,14,23,0.609,0.574,2,5,0.4,4,16,20,5,1,2,4,4,33,DEN,2022
1562,Bol Bol,21,32,2,160,25,58,0.431,9,24,0.375,16,34,0.471,0.509,10,15,0.667,0,24,24,7,3,10,13,14,69,DEN,2021
2156,Bol Bol,20,7,0,87,14,28,0.5,4,9,0.444,10,19,0.526,0.571,8,10,0.8,5,14,19,6,2,6,10,11,40,DEN,2020
75,Royce O'Neale,29,76,53,2409,229,593,0.386,163,419,0.389,66,174,0.379,0.524,50,69,0.725,55,329,384,283,65,49,114,239,671,BRK,2023
912,Royce O'Neale,28,77,77,2406,203,444,0.457,119,306,0.389,84,138,0.609,0.591,45,56,0.804,64,304,368,191,86,32,79,183,570,UTA,2022
1603,Royce O'Neale,27,71,71,2241,175,394,0.444,107,278,0.385,68,116,0.586,0.58,39,46,0.848,88,397,485,181,57,32,83,182,496,UTA,2021
2209,Royce O'Neale,26,71,62,2049,158,365,0.433,92,244,0.377,66,121,0.545,0.559,42,55,0.764,27,362,389,180,59,32,61,202,450,UTA,2020
2820,Royce O'Neale,25,82,16,1671,163,343,0.475,68,176,0.386,95,167,0.569,0.574,32,42,0.762,22,263,285,124,54,24,70,172,426,UTA,2019
3435,Royce O'Neale,24,69,4,1150,120,284,0.423,42,118,0.356,78,166,0.47,0.496,61,76,0.803,25,211,236,95,36,16,55,105,343,UTA,2018
290,Nassir Little,22,54,4,976,134,303,0.442,58,158,0.367,76,145,0.524,0.538,33,46,0.717,27,114,141,50,20,20,36,66,359,POR,2023
943,Nassir Little,21,42,23,1088,145,315,0.46,51,154,0.331,94,161,0.584,0.541,69,94,0.734,58,178,236,54,25,36,40,82,410,POR,2022
1632,Nassir Little,20,48,2,640,78,167,0.467,28,80,0.35,50,87,0.575,0.551,36,45,0.8,32,96,128,23,5,13,18,51,220,POR,2021
2235,Nassir Little,19,48,5,573,65,151,0.43,14,59,0.237,51,92,0.554,0.477,28,44,0.636,31,77,108,22,13,14,15,72,172,POR,2020
108,Thaddeus Young,34,54,9,795,108,198,0.545,6,34,0.176,102,164,0.622,0.561,18,26,0.692,71,95,166,75,54,5,42,88,240,TOR,2023
738,Thaddeus Young,33,26,0,475,67,144,0.465,17,43,0.395,50,101,0.495,0.524,13,27,0.481,40,75,115,45,31,11,22,43,164,TOR,2022
837,Thaddeus Young,33,26,1,370,74,128,0.578,0,5,0.0,74,123,0.602,0.578,10,22,0.455,40,53,93,59,23,7,30,38,158,SAS,2022
1688,Thaddeus Young,32,68,23,1652,370,662,0.559,12,45,0.267,358,617,0.58,0.568,71,113,0.628,168,255,423,291,74,40,137,152,823,CHI,2021
2285,Thaddeus Young,31,64,16,1591,269,601,0.448,79,222,0.356,190,379,0.501,0.513,42,72,0.583,94,221,315,117,92,23,102,134,659,CHI,2020
2924,Thaddeus Young,30,81,81,2489,443,841,0.527,51,146,0.349,392,695,0.564,0.557,87,135,0.644,192,331,523,204,123,36,123,194,1024,IND,2019
3534,Thaddeus Young,29,81,81,2607,421,864,0.487,58,181,0.32,363,683,0.531,0.521,55,92,0.598,184,328,512,152,135,36,105,175,955,IND,2018
4105,Thaddeus Young,28,74,74,2237,362,687,0.527,45,118,0.381,317,569,0.557,0.56,45,86,0.523,131,317,448,122,113,29,95,135,814,IND,2017
4380,Thaddeus Young,27,73,73,2407,495,963,0.514,7,30,0.233,488,933,0.523,0.518,105,163,0.644,176,484,660,136,112,37,136,182,1102,BRK,2016
4935,Thaddeus Young,26,28,20,829,162,327,0.495,19,50,0.38,143,277,0.516,0.524,43,71,0.606,52,114,166,38,38,8,42,56,386,BRK,2015
5059,Thaddeus Young,26,48,48,1605,289,641,0.451,19,65,0.292,270,576,0.469,0.466,88,129,0.682,75,170,245,135,86,17,75,115,685,MIN,2015
5432,Thaddeus Young,25,79,78,2718,582,1283,0.454,90,292,0.308,492,991,0.496,0.489,163,229,0.712,166,310,476,182,167,36,165,213,1417,PHI,2014
5984,Thaddeus Young,24,76,76,2629,509,958,0.531,1,8,0.125,508,950,0.535,0.532,108,188,0.574,182,389,571,125,133,55,90,191,1127,PHI,2013
6506,Thaddeus Young,23,63,1,1755,348,687,0.507,1,4,0.25,347,683,0.508,0.507,111,144,0.771,137,188,325,74,64,41,55,127,808,PHI,2012
