id,player_name,age,games,games_started,minutes_played,field_goals,field_attempts,field_percent,three_fg,three_attempts,three_percent,two_fg,two_attempts,two_percent,effect_fg_percent,ft,fta,ft_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,season
435,Bismack Biyombo,30,61,14,874,119,206,0.578,0,0,,119,206,0.578,0.578,25,70,0.357,89,171,260,56,18,88,51,114,263,PHO,2023
1132,Bismack Biyombo,29,36,3,506,86,145,0.593,0,0,,86,145,0.593,0.593,38,71,0.535,63,104,167,23,12,26,25,70,210,PHO,2022
1940,Bismack Biyombo,28,66,36,1349,142,242,0.587,0,1,0.000,142,241,0.589,0.587,47,105,0.448,137,210,347,81,17,74,71,141,331,CHO,2021
2532,Bismack Biyombo,27,53,29,1029,151,278,0.543,0,0,,151,278,0.543,0.543,91,151,0.603,120,188,308,50,10,49,48,116,393,CHO,2020
3157,Bismack Biyombo,26,54,32,783,89,156,0.571,0,0,,89,156,0.571,0.571,58,91,0.637,81,166,247,33,11,41,34,103,236,CHO,2019
3739,Bismack Biyombo,25,82,25,1495,183,352,0.520,0,1,0.000,183,351,0.521,0.520,102,157,0.650,144,324,468,66,21,95,84,158,468,ORL,2018
4277,Bismack Biyombo,24,81,27,1793,179,339,0.528,0,0,,179,339,0.528,0.528,125,234,0.534,157,410,567,74,25,91,95,202,483,ORL,2017
4400,Bismack Biyombo,23,82,22,1808,156,288,0.542,0,1,0.000,156,287,0.544,0.542,142,226,0.628,182,473,655,29,19,133,71,225,454,TOR,2016
5405,Bismack Biyombo,22,64,21,1243,101,186,0.543,0,0,,101,186,0.543,0.543,102,175,0.583,159,248,407,16,18,99,52,140,304,CHO,2015
5951,Bismack Biyombo,21,77,9,1072,88,144,0.611,0,0,,88,144,0.611,0.611,46,89,0.517,105,261,366,8,7,86,40,124,222,CHA,2014
6468,Bismack Biyombo,20,80,65,2186,156,346,0.451,0,0,,156,346,0.451,0.451,74,142,0.521,194,388,582,35,28,143,82,195,386,CHA,2013
6987,Bismack Biyombo,19,63,41,1455,129,278,0.464,0,0,,129,278,0.464,0.464,69,143,0.483,113,255,368,27,20,115,71,145,327,CHA,2012
