id,player_name,age,games,games_started,minutes_played,field_goals,field_attempts,field_percent,three_fg,three_attempts,three_percent,two_fg,two_attempts,two_percent,effect_fg_percent,ft,fta,ft_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,season
553,Bradley Beal,29,50,50,1673,444,878,0.506,80,219,0.365,364,659,0.552,0.551,192,228,0.842,41,155,196,271,45,33,145,107,1160,WAS,2023
1260,Bradley Beal,28,40,40,1439,348,771,0.451,63,210,0.300,285,561,0.508,0.492,169,203,0.833,38,151,189,265,36,15,135,95,928,WAS,2022
1886,Bradley Beal,27,60,60,2147,670,1382,0.485,130,373,0.349,540,1009,0.535,0.532,408,459,0.889,72,211,283,265,69,22,187,140,1878,WAS,2021
2484,Bradley Beal,26,57,57,2053,593,1303,0.455,170,481,0.353,423,822,0.515,0.520,385,457,0.842,52,190,242,347,71,23,194,126,1741,WAS,2020
3105,Bradley Beal,25,82,82,3028,764,1609,0.475,209,596,0.351,555,1013,0.548,0.540,362,448,0.808,89,322,411,448,121,58,224,226,2099,WAS,2019
3718,Bradley Beal,24,82,82,2977,683,1484,0.460,199,530,0.375,484,954,0.507,0.527,292,369,0.791,61,302,363,373,96,36,214,160,1857,WAS,2018
4256,Bradley Beal,23,77,77,2684,637,1322,0.482,223,552,0.404,414,770,0.538,0.566,282,342,0.825,53,187,240,267,83,21,156,169,1779,WAS,2017
4791,Bradley Beal,22,55,35,1708,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958,WAS,2016
5366,Bradley Beal,21,63,59,2107,363,851,0.427,106,259,0.409,257,592,0.434,0.489,130,166,0.783,57,184,241,194,76,18,123,136,962,WAS,2015
5913,Bradley Beal,20,73,73,2530,481,1149,0.419,138,343,0.402,343,806,0.426,0.479,149,189,0.788,54,219,273,243,71,18,128,153,1249,WAS,2014
6432,Bradley Beal,19,56,46,1745,282,687,0.410,91,236,0.386,191,451,0.424,0.477,125,159,0.786,43,168,211,137,50,29,90,113,780,WAS,2013
