id,player_name,age,games,games_started,minutes_played,field_goals,field_attempts,field_percent,three_fg,three_attempts,three_percent,two_fg,two_attempts,two_percent,effect_fg_percent,ft,fta,ft_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,season
440,Terrence Ross,31,21,0,386,71,166,0.428,34,98,0.347,37,68,0.544,0.530,12,14,0.857,12,57,69,41,10,2,6,44,188,PHO,2023
580,Terrence Ross,31,42,9,944,129,299,0.431,61,160,0.381,68,139,0.489,0.533,15,20,0.750,10,75,85,54,25,8,37,53,334,ORL,2023
1290,Terrence Ross,30,63,0,1448,220,554,0.397,77,264,0.292,143,290,0.493,0.467,112,130,0.862,20,141,161,116,28,12,75,68,629,ORL,2022
1908,Terrence Ross,29,46,2,1347,254,616,0.412,89,264,0.337,165,352,0.469,0.485,120,138,0.870,15,143,158,108,47,21,74,88,717,ORL,2021
2511,Terrence Ross,28,69,0,1889,341,846,0.403,177,504,0.351,164,342,0.480,0.508,157,184,0.853,13,209,222,82,77,24,70,109,1016,ORL,2020
3134,Terrence Ross,27,81,0,2150,440,1027,0.428,217,566,0.383,223,461,0.484,0.534,126,144,0.875,27,253,280,135,72,29,90,119,1223,ORL,2019
3745,Terrence Ross,26,24,20,600,76,191,0.398,30,93,0.323,46,98,0.469,0.476,27,36,0.750,10,63,73,38,27,11,29,45,209,ORL,2018
3867,Terrence Ross,25,54,0,1207,211,479,0.441,96,256,0.375,115,223,0.516,0.541,41,50,0.820,14,124,138,45,53,20,33,82,559,TOR,2017
4283,Terrence Ross,25,24,24,748,115,267,0.431,46,135,0.341,69,132,0.523,0.517,23,27,0.852,4,64,68,43,34,13,35,61,299,ORL,2017
4401,Terrence Ross,24,73,7,1747,270,626,0.431,131,339,0.386,139,287,0.484,0.536,49,62,0.790,21,164,185,56,54,25,46,120,720,TOR,2016
4949,Terrence Ross,23,82,61,2092,309,753,0.410,145,390,0.372,164,363,0.452,0.507,44,56,0.786,32,194,226,86,53,25,69,136,807,TOR,2015
5515,Terrence Ross,22,81,62,2159,318,751,0.423,161,408,0.395,157,343,0.458,0.531,82,98,0.837,43,209,252,79,64,27,88,183,879,TOR,2014
6061,Terrence Ross,21,73,2,1239,186,457,0.407,65,196,0.332,121,261,0.464,0.478,30,42,0.714,35,109,144,53,43,14,48,122,467,TOR,2013
