id,player_name,age,games,games_started,minutes_played,field_goals,field_attempts,field_percent,three_fg,three_attempts,three_percent,two_fg,two_attempts,two_percent,effect_fg_percent,ft,fta,ft_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,season
288,Jusuf Nurkić,28,52,52,1391,262,505,0.519,43,119,0.361,219,386,0.567,0.561,127,192,0.661,114,357,471,149,43,44,119,185,694,POR,2023
937,Jusuf Nurkić,27,56,56,1579,321,600,0.535,15,56,0.268,306,544,0.563,0.548,185,268,0.690,167,452,619,157,62,34,143,189,842,POR,2022
1630,Jusuf Nurkić,26,37,37,880,171,333,0.514,12,30,0.400,159,303,0.525,0.532,70,113,0.619,86,246,332,125,38,39,73,103,424,POR,2021
2240,Jusuf Nurkić,25,8,8,253,54,109,0.495,2,10,0.200,52,99,0.525,0.505,31,35,0.886,23,59,82,32,11,16,19,39,141,POR,2020
2835,Jusuf Nurkić,24,72,72,1974,420,826,0.508,3,29,0.103,417,797,0.523,0.510,282,365,0.773,243,505,748,233,71,103,168,250,1125,POR,2019
3453,Jusuf Nurkić,23,79,79,2088,480,951,0.505,0,7,0.000,480,944,0.508,0.505,172,273,0.630,189,519,708,143,64,111,183,247,1132,POR,2018
3970,Jusuf Nurkić,22,45,29,807,151,298,0.507,0,0,,151,298,0.507,0.507,56,113,0.496,89,171,260,60,25,36,81,88,358,DEN,2017
4039,Jusuf Nurkić,22,20,19,584,120,236,0.508,0,1,0.000,120,235,0.511,0.508,64,97,0.660,65,142,207,63,25,38,62,73,304,POR,2017
4505,Jusuf Nurkić,21,32,3,547,101,242,0.417,0,3,0.000,101,239,0.423,0.417,61,99,0.616,65,110,175,40,24,44,55,91,263,DEN,2016
5042,Jusuf Nurkić,20,62,27,1103,171,383,0.446,0,2,0.000,171,381,0.449,0.446,84,132,0.636,125,257,382,50,52,68,86,207,426,DEN,2015
