id,player_name,age,games,games_started,minutes_played,field_goals,field_attempts,field_percent,three_fg,three_attempts,three_percent,two_fg,two_attempts,two_percent,effect_fg_percent,ft,fta,ft_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,season
108,Thaddeus Young,34,54,9,795,108,198,0.545,6,34,0.176,102,164,0.622,0.561,18,26,0.692,71,95,166,75,54,5,42,88,240,TOR,2023
738,Thaddeus Young,33,26,0,475,67,144,0.465,17,43,0.395,50,101,0.495,0.524,13,27,0.481,40,75,115,45,31,11,22,43,164,TOR,2022
837,Thaddeus Young,33,26,1,370,74,128,0.578,0,5,0.000,74,123,0.602,0.578,10,22,0.455,40,53,93,59,23,7,30,38,158,SAS,2022
1688,Thaddeus Young,32,68,23,1652,370,662,0.559,12,45,0.267,358,617,0.580,0.568,71,113,0.628,168,255,423,291,74,40,137,152,823,CHI,2021
2285,Thaddeus Young,31,64,16,1591,269,601,0.448,79,222,0.356,190,379,0.501,0.513,42,72,0.583,94,221,315,117,92,23,102,134,659,CHI,2020
2924,Thaddeus Young,30,81,81,2489,443,841,0.527,51,146,0.349,392,695,0.564,0.557,87,135,0.644,192,331,523,204,123,36,123,194,1024,IND,2019
3534,Thaddeus Young,29,81,81,2607,421,864,0.487,58,181,0.320,363,683,0.531,0.521,55,92,0.598,184,328,512,152,135,36,105,175,955,IND,2018
4105,Thaddeus Young,28,74,74,2237,362,687,0.527,45,118,0.381,317,569,0.557,0.560,45,86,0.523,131,317,448,122,113,29,95,135,814,IND,2017
4380,Thaddeus Young,27,73,73,2407,495,963,0.514,7,30,0.233,488,933,0.523,0.518,105,163,0.644,176,484,660,136,112,37,136,182,1102,BRK,2016
4935,Thaddeus Young,26,28,20,829,162,327,0.495,19,50,0.380,143,277,0.516,0.524,43,71,0.606,52,114,166,38,38,8,42,56,386,BRK,2015
5059,Thaddeus Young,26,48,48,1605,289,641,0.451,19,65,0.292,270,576,0.469,0.466,88,129,0.682,75,170,245,135,86,17,75,115,685,MIN,2015
5432,Thaddeus Young,25,79,78,2718,582,1283,0.454,90,292,0.308,492,991,0.496,0.489,163,229,0.712,166,310,476,182,167,36,165,213,1417,PHI,2014
5984,Thaddeus Young,24,76,76,2629,509,958,0.531,1,8,0.125,508,950,0.535,0.532,108,188,0.574,182,389,571,125,133,55,90,191,1127,PHI,2013
6506,Thaddeus Young,23,63,1,1755,348,687,0.507,1,4,0.250,347,683,0.508,0.507,111,144,0.771,137,188,325,74,64,41,55,127,808,PHI,2012
7023,Thaddeus Young,22,82,1,2135,458,847,0.541,6,22,0.273,452,825,0.548,0.544,123,174,0.707,153,281,434,82,90,26,99,170,1045,PHI,2011
7565,Thaddeus Young,21,67,45,2145,382,813,0.470,48,138,0.348,334,675,0.495,0.499,114,165,0.691,130,220,350,97,81,15,126,133,926,PHI,2010
8073,Thaddeus Young,20,75,71,2580,475,960,0.495,56,164,0.341,419,796,0.526,0.524,139,189,0.735,139,238,377,86,100,23,118,165,1145,PHI,2009
8596,Thaddeus Young,19,74,22,1554,264,490,0.539,6,19,0.316,258,471,0.548,0.545,76,103,0.738,120,192,312,58,73,8,64,126,610,PHI,2008
