id,player_name,age,games,games_started,minutes_played,field_goals,field_attempts,field_percent,three_fg,three_attempts,three_percent,two_fg,two_attempts,two_percent,effect_fg_percent,ft,fta,ft_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,season
576,Bol Bol,23,70,33,1505,261,478,0.546,30,113,0.265,231,365,0.633,0.577,82,108,0.759,69,336,405,69,30,85,112,92,634,ORL,2023
863,Bol Bol,22,14,0,81,15,27,0.556,1,4,0.25,14,23,0.609,0.574,2,5,0.4,4,16,20,5,1,2,4,4,33,DEN,2022
1562,Bol Bol,21,32,2,160,25,58,0.431,9,24,0.375,16,34,0.471,0.509,10,15,0.667,0,24,24,7,3,10,13,14,69,DEN,2021
2156,Bol Bol,20,7,0,87,14,28,0.5,4,9,0.444,10,19,0.526,0.571,8,10,0.8,5,14,19,6,2,6,10,11,40,DEN,2020
91,T.J. Warren,29,26,0,490,102,200,0.51,16,48,0.333,86,152,0.566,0.55,27,33,0.818,13,59,72,29,15,7,17,45,247,BRK,2023
443,T.J. Warren,29,16,0,197,30,70,0.429,6,19,0.316,24,51,0.471,0.471,1,2,0.5,13,36,49,11,7,5,3,20,67,PHO,2023
1722,T.J. Warren,27,4,4,117,27,51,0.529,0,7,0.0,27,44,0.614,0.529,8,10,0.8,2,12,14,5,2,0,4,16,62,IND,2021
2299,T.J. Warren,26,67,67,2202,534,997,0.536,91,226,0.403,443,771,0.575,0.581,167,204,0.819,68,212,280,99,78,34,84,187,1326,IND,2020
2984,T.J. Warren,25,43,36,1360,297,611,0.486,77,180,0.428,220,431,0.51,0.549,101,124,0.815,31,143,174,64,51,29,52,119,772,PHO,2019
3593,T.J. Warren,24,65,65,2142,529,1063,0.498,20,90,0.222,509,973,0.523,0.507,193,255,0.757,125,208,333,85,65,41,85,149,1271,PHO,2018
4154,T.J. Warren,23,66,59,2048,403,814,0.495,26,98,0.265,377,716,0.527,0.511,119,154,0.773,125,214,339,75,76,39,57,175,951,PHO,2017
4687,T.J. Warren,22,47,4,1070,221,441,0.501,28,70,0.4,193,371,0.52,0.533,45,64,0.703,57,90,147,44,37,16,32,94,515,PHO,2016
5261,T.J. Warren,21,40,1,614,113,214,0.528,5,21,0.238,108,193,0.56,0.54,14,19,0.737,41,44,85,25,18,9,27,51,245,PHO,2015
431,Josh Okogie,24,72,26,1350,162,414,0.391,66,197,0.335,96,217,0.442,0.471,139,192,0.724,109,142,251,105,56,34,63,114,529,PHO,2023
879,Josh Okogie,23,49,6,516,42,104,0.404,14,47,0.298,28,57,0.491,0.471,35,51,0.686,29,41,70,25,26,12,23,53,133,MIN,2022
1571,Josh Okogie,22,59,37,1197,102,254,0.402,29,108,0.269,73,146,0.5,0.459,83,108,0.769,63,93,156,63,54,28,43,123,316,MIN,2021
2163,Josh Okogie,21,62,28,1547,170,398,0.427,41,154,0.266,129,244,0.529,0.479,152,191,0.796,87,181,268,99,68,26,87,139,533,MIN,2020
2777,Josh Okogie,20,74,52,1757,196,508,0.386,60,215,0.279,136,293,0.464,0.445,118,162,0.728,41,177,218,91,88,33,63,166,570,MIN,2019
37,Saben Lee,23,2,0,10,3,4,0.75,0,1,0.0,3,3,1.0,0.75,0,0,,0,0,0,2,1,0,3,1,6,PHI,2023
441,Saben Lee,23,23,1,363,46,117,0.393,11,29,0.379,35,88,0.398,0.44,42,57,0.737,13,32,45,65,18,1,21,31,145,PHO,2023
1080,Saben Lee,22,37,0,604,69,177,0.39,14,60,0.233,55,117,0.47,0.429,56,71,0.789,18,69,87,107,36,12,36,44,208,DET,2022
1735,Saben Lee,21,48,7,781,99,210,0.471,8,23,0.348,91,187,0.487,0.49,61,89,0.685,20,77,97,174,32,13,55,76,267,DET,2021
414,Chimezie Metu,25,66,0,689,129,219,0.589,9,38,0.237,120,181,0.663,0.61,54,73,0.74,47,151,198,40,22,21,32,81,321,SAC,2023
1100,Chimezie Metu,24,60,20,1279,203,449,0.452,57,186,0.306,146,263,0.555,0.516,71,91,0.78,34,301,335,60,51,32,61,93,534,SAC,2022
1759,Chimezie Metu,23,36,6,488,91,179,0.508,13,37,0.351,78,142,0.549,0.545,31,43,0.721,31,81,112,28,14,18,29,59,226,SAC,2021
2138,Chimezie Metu,22,18,0,105,24,42,0.571,0,2,0.0,24,40,0.6,0.571,10,13,0.769,12,21,33,10,3,6,10,7,58,SAS,2020
2753,Chimezie Metu,21,29,0,145,19,58,0.328,0,2,0.0,19,56,0.339,0.328,13,17,0.765,9,27,36,13,6,2,15,14,51,SAS,2019
183,Keita Bates-Diop,27,67,42,1452,236,465,0.508,56,142,0.394,180,323,0.557,0.568,119,150,0.793,65,183,248,103,46,20,56,63,647,SAS,2023
